Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-2017,7437926611570799,1,spicy miso ramen
2,01-01-2017,7437926611570799,1,spicy miso ramen
3,01-01-2017,8421920068932819,3,tori paitan ramen
4,01-01-2017,8421920068932819,3,tori paitan ramen
5,01-01-2017,4787310681569648,1,truffle butter ramen
6,01-01-2017,4787310681569648,1,truffle butter ramen
7,01-01-2017,8252818705821725,1,tonkotsu ramen
8,01-01-2017,8252818705821725,1,tonkotsu ramen
9,01-01-2017,3119034881407323,1,vegetarian spicy miso
10,01-01-2017,3119034881407323,1,vegetarian spicy miso
11,01-01-2017,5185620052605569,1,shio ramen
12,01-01-2017,5185620052605569,1,shio ramen
13,01-01-2017,1625774198697856,1,tori paitan ramen
14,01-01-2017,1625774198697856,1,tori paitan ramen
15,01-01-2017,505248472056578,1,vegetarian spicy miso
16,01-01-2017,505248472056578,1,vegetarian spicy miso
17,01-01-2017,5010864392617689,1,spicy miso ramen
18,01-01-2017,5010864392617689,1,spicy miso ramen
19,01-01-2017,1792739336416381,2,truffle butter ramen
20,01-01-2017,1792739336416381,2,truffle butter ramen
21,01-01-2017,761559936834947,2,tonkotsu ramen
22,01-01-2017,761559936834947,2,tonkotsu ramen
23,01-01-2017,9019899875381263,1,truffle butter ramen
24,01-01-2017,9019899875381263,1,truffle butter ramen
25,01-01-2017,8390952377142813,2,tori paitan ramen
26,01-01-2017,8390952377142813,2,tori paitan ramen
27,01-01-2017,8413275554809498,1,spicy miso ramen
28,01-01-2017,8413275554809498,1,spicy miso ramen
29,01-01-2017,9297729736590973,1,vegetarian spicy miso
30,01-01-2017,9297729736590973,1,vegetarian spicy miso
31,01-01-2017,4842259280240047,1,vegetarian spicy miso
32,01-01-2017,4842259280240047,1,vegetarian spicy miso
33,01-01-2017,6233521625518921,4,tonkotsu ramen
34,01-01-2017,6233521625518921,4,tonkotsu ramen
35,01-01-2017,2641214109762946,4,miso crab ramen
36,01-01-2017,2641214109762946,4,miso crab ramen
37,01-01-2017,9499629855503509,1,miso crab ramen
38,01-01-2017,9499629855503509,1,miso crab ramen
39,01-01-2017,5567347994803336,1,nagomi shoyu
40,01-01-2017,5567347994803336,1,nagomi shoyu
41,01-01-2017,2210478832955280,1,truffle butter ramen
42,01-01-2017,2210478832955280,1,truffle butter ramen
43,01-01-2017,6129806465248355,1,tori paitan ramen
44,01-01-2017,6129806465248355,1,tori paitan ramen
45,01-01-2017,4567545741772660,1,truffle butter ramen
46,01-01-2017,4567545741772660,1,truffle butter ramen
47,01-01-2017,8666977854387557,1,vegetarian spicy miso
48,01-01-2017,8666977854387557,1,vegetarian spicy miso
49,01-01-2017,9447156482236957,1,soft-shell miso crab ramen
50,01-01-2017,9447156482236957,1,soft-shell miso crab ramen
51,01-01-2017,9720247648273415,3,nagomi shoyu
52,01-01-2017,9720247648273415,3,nagomi shoyu
53,01-01-2017,5076973123462632,1,tori paitan ramen
54,01-01-2017,5076973123462632,1,tori paitan ramen
55,01-01-2017,6759299745892858,1,shio ramen
56,01-01-2017,6759299745892858,1,shio ramen
57,01-01-2017,2925610854460099,2,nagomi shoyu
58,01-01-2017,2925610854460099,2,nagomi shoyu
59,01-01-2017,25488869766864,1,soft-shell miso crab ramen
60,01-01-2017,25488869766864,1,soft-shell miso crab ramen
61,01-01-2017,6827699400894567,1,tonkotsu ramen
62,01-01-2017,6827699400894567,1,tonkotsu ramen
63,01-01-2017,6092274863700361,1,truffle butter ramen
64,01-01-2017,6092274863700361,1,truffle butter ramen
65,01-01-2017,6868343243350759,1,spicy miso ramen
66,01-01-2017,6868343243350759,1,spicy miso ramen
67,01-01-2017,6644706782247054,1,burnt garlic tonkotsu ramen
68,01-01-2017,6644706782247054,1,burnt garlic tonkotsu ramen
69,01-01-2017,203567346724240,2,soft-shell miso crab ramen
70,01-01-2017,203567346724240,2,soft-shell miso crab ramen
71,01-01-2017,164673264403463,4,spicy miso ramen
72,01-01-2017,164673264403463,4,spicy miso ramen
73,01-01-2017,2318086938464664,1,vegetarian spicy miso
74,01-01-2017,2318086938464664,1,vegetarian spicy miso
75,01-01-2017,6284589008018918,3,burnt garlic tonkotsu ramen
76,01-01-2017,6284589008018918,3,burnt garlic tonkotsu ramen
77,01-01-2017,5372899258540714,4,miso crab ramen
78,01-01-2017,5372899258540714,4,miso crab ramen
79,01-01-2017,7434126499333794,3,truffle butter ramen
80,01-01-2017,7434126499333794,3,truffle butter ramen
81,01-01-2017,7918389407135661,3,vegetarian spicy miso
82,01-01-2017,7918389407135661,3,vegetarian spicy miso
83,01-01-2017,9229240748122143,1,tori paitan ramen
84,01-01-2017,9229240748122143,1,tori paitan ramen
85,01-01-2017,5357240623566379,1,tonkotsu ramen
86,01-01-2017,5357240623566379,1,tonkotsu ramen
87,01-01-2017,353471709272555,1,vegetarian spicy miso
88,01-01-2017,353471709272555,1,vegetarian spicy miso
89,01-01-2017,3163915761505662,1,tonkotsu ramen
90,01-01-2017,3163915761505662,1,tonkotsu ramen
91,01-01-2017,3451368930610153,1,truffle butter ramen
92,01-01-2017,3451368930610153,1,truffle butter ramen
93,01-01-2017,3242151881645125,1,vegetarian curry + king trumpet mushroom ramen
94,01-01-2017,3242151881645125,1,vegetarian curry + king trumpet mushroom ramen
95,01-01-2017,2770481058384067,1,vegetarian spicy miso
96,01-01-2017,2770481058384067,1,vegetarian spicy miso
97,01-01-2017,1504200333701650,3,truffle butter ramen
98,01-01-2017,1504200333701650,3,truffle butter ramen
99,01-01-2017,9996129182295125,1,nagomi shoyu
100,01-01-2017,9996129182295125,1,nagomi shoyu
101,01-01-2017,9863864841384564,1,truffle butter ramen
102,01-01-2017,9863864841384564,1,truffle butter ramen
103,01-01-2017,6898543754868794,1,tori paitan ramen
104,01-01-2017,6898543754868794,1,tori paitan ramen
105,01-01-2017,440092900011093,1,vegetarian curry + king trumpet mushroom ramen
106,01-01-2017,440092900011093,1,vegetarian curry + king trumpet mushroom ramen
107,01-01-2017,2578446295277399,1,spicy miso ramen
108,01-01-2017,2578446295277399,1,spicy miso ramen
109,01-01-2017,2010385147149374,1,tori paitan ramen
110,01-01-2017,2010385147149374,1,tori paitan ramen
111,01-01-2017,3671414722028400,1,tori paitan ramen
112,01-01-2017,3671414722028400,1,tori paitan ramen
113,01-01-2017,4751046479452535,2,vegetarian spicy miso
114,01-01-2017,4751046479452535,2,vegetarian spicy miso
115,01-01-2017,1735007769975965,1,burnt garlic tonkotsu ramen
116,01-01-2017,1735007769975965,1,burnt garlic tonkotsu ramen
117,01-01-2017,3916426641826245,1,burnt garlic tonkotsu ramen
118,01-01-2017,3916426641826245,1,burnt garlic tonkotsu ramen
119,01-01-2017,2558443807980413,1,burnt garlic tonkotsu ramen
120,01-01-2017,2558443807980413,1,burnt garlic tonkotsu ramen
121,01-01-2017,7295038937276270,1,vegetarian spicy miso
122,01-01-2017,7295038937276270,1,vegetarian spicy miso
123,01-01-2017,197955612531512,1,vegetarian curry + king trumpet mushroom ramen
124,01-01-2017,197955612531512,1,vegetarian curry + king trumpet mushroom ramen
125,01-01-2017,904987186096980,1,nagomi shoyu
126,01-01-2017,904987186096980,1,nagomi shoyu
127,01-01-2017,7106184377897701,4,nagomi shoyu
128,01-01-2017,7106184377897701,4,nagomi shoyu
129,01-01-2017,3284254883081882,1,burnt garlic tonkotsu ramen
130,01-01-2017,3284254883081882,1,burnt garlic tonkotsu ramen
131,01-01-2017,3645808943593645,1,nagomi shoyu
132,01-01-2017,3645808943593645,1,nagomi shoyu
133,01-01-2017,1548540106333954,1,vegetarian spicy miso
134,01-01-2017,1548540106333954,1,vegetarian spicy miso
135,01-01-2017,5880821253459943,1,truffle butter ramen
136,01-01-2017,5880821253459943,1,truffle butter ramen
137,01-01-2017,2937165309877076,1,truffle butter ramen
138,01-01-2017,2937165309877076,1,truffle butter ramen
139,01-01-2017,135512259164914,1,shio ramen
140,01-01-2017,135512259164914,1,shio ramen
141,01-01-2017,7826072270317668,1,vegetarian curry + king trumpet mushroom ramen
142,01-01-2017,7826072270317668,1,vegetarian curry + king trumpet mushroom ramen
143,01-01-2017,89395923107334,1,nagomi shoyu
144,01-01-2017,89395923107334,1,nagomi shoyu
145,01-01-2017,9962482931425532,1,vegetarian spicy miso
146,01-01-2017,9962482931425532,1,vegetarian spicy miso
147,01-01-2017,8943262387749441,1,vegetarian curry + king trumpet mushroom ramen
148,01-01-2017,8943262387749441,1,vegetarian curry + king trumpet mushroom ramen
149,01-01-2017,4438041246874494,1,shio ramen
150,01-01-2017,4438041246874494,1,shio ramen
151,01-01-2017,2225572442813711,1,shio ramen
152,01-01-2017,2225572442813711,1,shio ramen
153,01-01-2017,969930968336613,1,vegetarian spicy miso
154,01-01-2017,969930968336613,1,vegetarian spicy miso
155,01-01-2017,9877201711186758,2,soft-shell miso crab ramen
156,01-01-2017,9877201711186758,2,soft-shell miso crab ramen
157,01-01-2017,627106076864560,2,shio ramen
158,01-01-2017,627106076864560,2,shio ramen
159,01-01-2017,884037243539149,1,vegetarian spicy miso
160,01-01-2017,884037243539149,1,vegetarian spicy miso
161,01-01-2017,5932581824265639,1,nagomi shoyu
162,01-01-2017,5932581824265639,1,nagomi shoyu
163,01-01-2017,2984744025177112,1,vegetarian spicy miso
164,01-01-2017,2984744025177112,1,vegetarian spicy miso
165,01-01-2017,36480379221833,3,tori paitan ramen
166,01-01-2017,36480379221833,3,tori paitan ramen
167,01-01-2017,644944722331273,2,miso crab ramen
168,01-01-2017,644944722331273,2,miso crab ramen
169,01-01-2017,9351573732855842,1,vegetarian curry + king trumpet mushroom ramen
170,01-01-2017,9351573732855842,1,vegetarian curry + king trumpet mushroom ramen
171,01-01-2017,4737336514534563,1,tori paitan ramen
172,01-01-2017,4737336514534563,1,tori paitan ramen
173,01-01-2017,7456253403515684,1,truffle butter ramen
174,01-01-2017,7456253403515684,1,truffle butter ramen
175,01-01-2017,8943849299020899,1,spicy miso ramen
176,01-01-2017,8943849299020899,1,spicy miso ramen
177,01-01-2017,1082205543290085,1,spicy miso ramen
178,01-01-2017,1082205543290085,1,spicy miso ramen
179,01-01-2017,3702405898802287,1,spicy miso ramen
180,01-01-2017,3702405898802287,1,spicy miso ramen
181,01-01-2017,160368623399516,1,soft-shell miso crab ramen
